               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074568,            0.024406,            0.075301,             0.98094,            0.020821,            0.017433,           0.0056233,            0.035796,            0.011642,            0.040788,            0.070123,           0.0033196,           0.0033196
                   1,            0.052718,            0.017793,            0.053811,             0.98796,            0.023408,            0.061133,            0.019982,            0.039793,           0.0078452,            0.035565,            0.039904,           0.0064334,           0.0064334
                   2,            0.049113,            0.013833,             0.05011,             0.94785,            0.030864,            0.090625,            0.044135,            0.032022,           0.0068419,            0.033854,           0.0094644,           0.0093272,           0.0093272
                   3,            0.044423,            0.012346,            0.046663,              0.8303,             0.07731,             0.16442,            0.096297,            0.022331,           0.0065573,            0.032163,             0.00901,             0.00901,             0.00901
                   4,            0.039198,            0.011621,            0.046275,             0.76411,             0.09303,             0.21685,             0.14239,            0.019631,           0.0064053,            0.029956,             0.00901,             0.00901,             0.00901
                   5,              0.0369,            0.011325,            0.043006,             0.70223,             0.23504,             0.24865,             0.14957,            0.022023,           0.0065758,            0.030102,             0.00868,             0.00868,             0.00868
                   6,            0.035131,            0.010672,            0.040629,             0.48431,             0.40484,             0.28435,             0.17054,              0.0202,           0.0059445,            0.026732,             0.00835,             0.00835,             0.00835
                   7,            0.034227,            0.010792,            0.038671,             0.28465,             0.64729,             0.33413,             0.19817,            0.019616,           0.0058099,            0.024677,             0.00802,             0.00802,             0.00802
                   8,            0.033895,            0.010603,            0.036128,             0.32031,             0.65277,             0.38038,             0.23714,             0.01973,           0.0059038,            0.023581,             0.00769,             0.00769,             0.00769
                   9,            0.031475,            0.010036,            0.034504,             0.35401,             0.63451,              0.3971,             0.27163,            0.017821,           0.0057135,            0.022444,             0.00736,             0.00736,             0.00736
                  10,            0.031438,            0.010157,            0.033502,             0.46127,             0.59852,             0.44492,             0.29248,            0.017133,           0.0056025,            0.021582,             0.00703,             0.00703,             0.00703
                  11,            0.031242,             0.01015,            0.032007,             0.38739,             0.70451,             0.46802,             0.28348,            0.018685,           0.0056187,            0.020558,              0.0067,              0.0067,              0.0067
                  12,             0.02965,           0.0098594,            0.031435,             0.42939,             0.62753,             0.50957,             0.34598,            0.017443,           0.0056673,            0.019785,             0.00637,             0.00637,             0.00637
                  13,            0.029558,           0.0098336,            0.029025,             0.43633,             0.67677,             0.55163,             0.34783,            0.017608,           0.0054617,            0.018782,             0.00604,             0.00604,             0.00604
                  14,            0.028651,             0.01012,            0.028107,             0.46278,              0.7053,             0.62812,             0.40925,            0.016681,           0.0053954,            0.017675,             0.00571,             0.00571,             0.00571
                  15,            0.027937,           0.0097905,            0.027141,             0.43556,             0.71013,             0.69686,             0.46466,            0.016298,           0.0052836,            0.016642,             0.00538,             0.00538,             0.00538
                  16,            0.027481,           0.0092991,            0.025578,             0.59311,             0.74508,             0.70653,             0.47513,             0.01571,           0.0052937,            0.015571,             0.00505,             0.00505,             0.00505
                  17,            0.027258,           0.0095795,            0.024592,             0.66206,             0.70525,             0.77247,             0.51514,            0.015853,           0.0052675,            0.014556,             0.00472,             0.00472,             0.00472
                  18,            0.026639,           0.0091697,            0.023675,             0.59969,             0.77374,             0.77013,             0.51834,            0.016017,            0.005233,            0.013625,             0.00439,             0.00439,             0.00439
                  19,            0.026926,           0.0091671,             0.02249,             0.67133,             0.74214,             0.83146,             0.58282,            0.014782,           0.0051737,            0.012617,             0.00406,             0.00406,             0.00406
                  20,            0.025958,           0.0092067,            0.021852,             0.65571,             0.85407,             0.86046,             0.59742,            0.015238,            0.005215,            0.011646,             0.00373,             0.00373,             0.00373
                  21,             0.02568,           0.0091125,            0.021077,             0.80784,              0.7623,             0.88399,             0.61127,            0.014739,           0.0050301,            0.010691,              0.0034,              0.0034,              0.0034
                  22,            0.025198,           0.0090142,            0.019769,              0.7509,             0.81142,             0.89205,             0.63755,            0.014485,           0.0050682,            0.010075,             0.00307,             0.00307,             0.00307
                  23,            0.024694,           0.0089703,             0.01893,             0.75297,             0.85056,             0.91633,             0.62658,            0.014423,           0.0050226,           0.0090891,             0.00274,             0.00274,             0.00274
                  24,            0.023894,           0.0089828,             0.01755,             0.75401,             0.89438,             0.93241,             0.67878,            0.013829,           0.0049839,           0.0084196,             0.00241,             0.00241,             0.00241
                  25,            0.023456,            0.009006,            0.016949,             0.80528,             0.87898,             0.95105,             0.69329,            0.013792,           0.0049497,           0.0077539,             0.00208,             0.00208,             0.00208
                  26,            0.023204,           0.0088786,            0.016049,             0.85342,             0.87594,             0.95126,             0.68606,            0.013423,           0.0049428,           0.0071787,             0.00175,             0.00175,             0.00175
                  27,            0.022466,           0.0085796,            0.015197,             0.83686,             0.93314,             0.95638,             0.69793,            0.013184,           0.0048802,           0.0067657,             0.00142,             0.00142,             0.00142
                  28,            0.022383,           0.0089279,            0.014805,             0.94116,              0.8787,              0.9552,             0.71049,            0.013043,           0.0048746,           0.0063255,             0.00109,             0.00109,             0.00109
                  29,             0.02168,           0.0086642,             0.01419,              0.8698,             0.92726,             0.97132,             0.73585,            0.012688,           0.0048232,           0.0059283,             0.00076,             0.00076,             0.00076
